time;co2;people;door;window;voc
2024-01-01 00:00:00;388,5407183284845;0;0;0;161,81883814641472
2024-01-01 01:00:00;391,2297719090259;0;0;0;206,3269118121425
2024-01-01 02:00:00;406,02265333333776;1;0;0;232,22856131739377
2024-01-01 03:00:00;389,32785505451346;0;0;0;156,31475705315876
2024-01-01 04:00:00;390,9036241227504;0;0;0;177,1278635915229
2024-01-01 05:00:00;388,2489935680933;0;0;0;210,28310081160475
2024-01-01 06:00:00;405,37995024854973;1;0;0;181,80953429084732
2024-01-01 07:00:00;414,8717182778868;2;0;0;242,60483973530268
2024-01-01 08:00:00;401,8573101913786;1;0;0;238,9967099886391
2024-01-01 09:00:00;391,3533341640042;0;0;0;173,12344327020043
2024-01-01 10:00:00;405,17753810087646;1;0;0;212,71483216702504
2024-01-01 11:00:00;393,75402818431184;0;0;0;193,29772130370637
2024-01-01 12:00:00;402,309528116542;1;0;0;244,23626761336521
2024-01-01 13:00:00;389,87797311404734;0;0;0;173,3565808248993
2024-01-01 14:00:00;391,0332928460483;0;0;0;179,88875487479257
2024-01-01 15:00:00;411,55333565228256;2;0;0;233,8144767854285
2024-01-01 16:00:00;393,10850426566043;0;0;0;232,98567889374817
2024-01-01 17:00:00;402,40449800720046;1;0;0;256,9923287909912
2024-01-01 18:00:00;390,0774927137823;0;0;0;203,4291593051175
2024-01-01 19:00:00;400,79417516394005;1;0;0;220,38877839388633
2024-01-01 20:00:00;392,5260426863461;0;0;0;205,04660792651788
2024-01-01 21:00:00;389,8198659858683;0;0;0;211,5076156865847
2024-01-01 22:00:00;393,9702974622227;0;0;0;178,73590729320497
2024-01-01 23:00:00;387,48655925857844;0;0;0;199,73169659498552
2024-01-02 00:00:00;390,3895342374739;0;0;0;163,6357163155815
2024-01-02 01:00:00;389,98827306871556;0;0;0;173,66620552078632
2024-01-02 02:00:00;390,120462455393;0;0;0;201,7980156693383
2024-01-02 03:00:00;387,83283537036357;0;0;0;153,79448737480914
2024-01-02 04:00:00;393,5121005811669;0;0;0;191,84815593063536
2024-01-02 05:00:00;389,2839361072906;0;0;0;167,79229795530563
2024-01-02 06:00:00;392,4061410519493;0;0;0;186,8728062738936
2024-01-02 07:00:00;404,1955270315876;1;0;0;172,01781342744852
