time;co2;people;door;window
2024-01-01 00:00:00;395,5407183284845;0;0;0
2024-01-01 01:00:00;398,2897719090259;0;0;0
2024-01-01 02:00:00;413,1414533333378;1;0;0
2024-01-01 03:00:00;396,50427905451346;0;0;0
2024-01-01 04:00:00;398,1365196427504;0;0;0
2024-01-01 05:00:00;395,5372311776933;0;0;0
2024-01-01 06:00:00;412,7224231059577;1;0;0
2024-01-01 07:00:00;422,2673416781467;2;0;0
2024-01-01 08:00:00;409,30502112363325;1;0;0
2024-01-01 09:00:00;398,85209087761376;0;0;0
2024-01-01 10:00:00;412,72631968021386;1;0;0
2024-01-01 11:00:00;401,35183413206244;0;0;0
2024-01-01 12:00:00;409,9553779453376;1;0;0
2024-01-01 13:00:00;397,57090594626703;0;0;0
2024-01-01 14:00:00;398,7723670216236;0;0;0
2024-01-01 15:00:00;419,33762834434634;2;0;0
2024-01-01 16:00:00;400,9371111038829;0;0;0
2024-01-01 17:00:00;410,2765327086585;1;0;0
2024-01-01 18:00:00;397,99208672121125;0;0;0
2024-01-01 19:00:00;408,75047729122036;1;0;0
2024-01-01 20:00:00;400,5232187710808;0;0;0
2024-01-01 21:00:00;397,8570985489083;0;0;0
2024-01-01 22:00:00;402,0467853740019;0;0;0
2024-01-01 23:00:00;395,60151741212206;0;0;0
2024-01-02 00:00:00;398,5421932279467;0;0;0
2024-01-02 01:00:00;398,17787887937885;0;0;0
2024-01-02 02:00:00;398,34627614984305;0;0;0
2024-01-02 03:00:00;396,0941327909246;0;0;0
2024-01-02 04:00:00;401,80817205331675;0;0;0
2024-01-02 05:00:00;397,6140861499974;0;0;0
2024-01-02 06:00:00;400,76968809380196;0;0;0
2024-01-02 07:00:00;412,59180313260316;1;0;0
2024-01-02 08:00:00;412,74082936644294;1;0;0
2024-01-02 09:00:00;398,90434004855217;0;0;0
2024-01-02 10:00:00;405,2246422911593;0;0;0
2024-01-02 11:00:00;436,81520701096895;3;0;0
2024-01-02 12:00:00;412,6191650096815;1;0;0
2024-01-02 13:00:00;401,98757500553523;0;1;0
2024-01-02 14:00:00;400,8023430443591;0;0;0
2024-01-02 15:00:00;413,4425656394328;1;0;0
2024-01-02 16:00:00;397,485584457608;0;0;0
2024-01-02 17:00:00;399,6402735276924;0;0;0
2024-01-02 18:00:00;398,9091864252478;0;0;0
2024-01-02 19:00:00;397,6368409133197;0;0;0
2024-01-02 20:00:00;398,1748077418731;0;0;0
2024-01-02 21:00:00;400,77770614586996;0;0;0
2024-01-02 22:00:00;400,9904035527315;0;0;0
2024-01-02 23:00:00;402,7470071867682;0;0;0
2024-01-03 00:00:00;412,9646616721778;1;0;0
2024-01-03 01:00:00;412,2399517075678;1;0;0
2024-01-03 02:00:00;404,777423733217;0;0;0
2024-01-03 03:00:00;417,4175512919088;1;0;0
2024-01-03 04:00:00;424,205522504124;2;0;0
2024-01-03 05:00:00;402,26522566968157;0;0;0
2024-01-03 06:00:00;416,9748071648158;1;0;0
2024-01-03 07:00:00;418,31737951999685;1;1;0
2024-01-03 08:00:00;408,0261498087069;0;0;0
2024-01-03 09:00:00;405,2345708985778;0;0;0
2024-01-03 10:00:00;414,49667406899835;1;0;0
2024-01-03 11:00:00;414,27455389567183;1;0;0
2024-01-03 12:00:00;413,2006950607538;1;0;0
2024-01-03 13:00:00;417,9989915479466;1;0;0
2024-01-03 14:00:00;406,8306796742014;0;0;0
2024-01-03 15:00:00;410,68240869226366;1;0;0
2024-01-03 16:00:00;403,8611711577444;0;0;0
2024-01-03 17:00:00;404,8180509304088;0;0;0
2024-01-03 18:00:00;403,1743644072145;0;0;0
2024-01-03 19:00:00;415,23517966503255;1;0;0
2024-01-03 20:00:00;402,7673823970463;0;0;0
2024-01-03 21:00:00;428,79885518911885;2;0;0
2024-01-03 22:00:00;405,39380258652994;0;0;0
2024-01-03 23:00:00;401,12262734709793;0;0;0
2024-01-04 00:00:00;411,3052337701425;1;0;0
2024-01-04 01:00:00;426,86086614117454;2;0;0
2024-01-04 02:00:00;418,12745004741043;1;0;0
2024-01-04 03:00:00;431,8193489762262;2;0;0
2024-01-04 04:00:00;413,6444376667609;1;0;1
2024-01-04 05:00:00;407,8254007811674;0;0;0
2024-01-04 06:00:00;407,1736911709789;0;0;0
2024-01-04 07:00:00;397,27895856178736;0;0;1
2024-01-04 08:00:00;404,8787668032525;0;0;0
2024-01-04 09:00:00;402,6115323724176;0;0;0
2024-01-04 10:00:00;399,75731675294065;0;0;0
2024-01-04 11:00:00;400,8171910512494;0;0;0
2024-01-04 12:00:00;402,3651173180239;0;0;0
2024-01-04 13:00:00;402,40594903142915;0;0;0
2024-01-04 14:00:00;403,26294878661616;0;0;0
2024-01-04 15:00:00;402,7799867744619;0;0;0
2024-01-04 16:00:00;401,10304949058815;0;0;0
2024-01-04 17:00:00;403,1390567822943;0;0;0
2024-01-04 18:00:00;411,4840558324264;1;0;0
2024-01-04 19:00:00;414,80501467417815;1;0;0
2024-01-04 20:00:00;397,2015156393742;0;0;0
2024-01-04 21:00:00;401,52903127645686;0;0;0
2024-01-04 22:00:00;400,59387154204836;0;0;0
2024-01-04 23:00:00;401,7347610691518;0;0;0
2024-01-05 00:00:00;399,5111404094634;0;0;0
2024-01-05 01:00:00;435,5830967223788;3;0;0
2024-01-05 02:00:00;407,6554307606032;1;0;0
2024-01-05 03:00:00;398,28415368201917;0;0;0
2024-01-05 04:00:00;410,1385216373125;1;0;0
2024-01-05 05:00:00;398,2455412308499;0;0;0
2024-01-05 06:00:00;401,5975584805228;0;0;0
2024-01-05 07:00:00;400,99264314132176;0;0;0
2024-01-05 08:00:00;415,121306633377;1;0;0
2024-01-05 09:00:00;400,2007177883659;0;0;0
2024-01-05 10:00:00;400,73697209858386;0;0;0
2024-01-05 11:00:00;400,214043928804;0;0;0
2024-01-05 12:00:00;399,59935768249636;0;0;0
2024-01-05 13:00:00;400,63521761863416;0;0;0
2024-01-05 14:00:00;413,9549498714228;1;0;0
2024-01-05 15:00:00;400,73314579178685;0;0;0
2024-01-05 16:00:00;413,77054010872195;1;0;0
2024-01-05 17:00:00;412,2389041412237;1;0;0
2024-01-05 18:00:00;414,3052629076715;1;0;0
2024-01-05 19:00:00;397,6179730962398;0;0;0
2024-01-05 20:00:00;400,6702944534477;0;0;0
2024-01-05 21:00:00;416,1476152523528;1;0;0
2024-01-05 22:00:00;405,1072874911688;0;0;0
2024-01-05 23:00:00;404,624264754682;0;0;0
2024-01-06 00:00:00;403,70133605262686;0;0;0
2024-01-06 01:00:00;424,92522104129654;2;0;0
2024-01-06 02:00:00;397,1021951488322;0;0;0
2024-01-06 03:00:00;403,41000020388947;0;0;0
2024-01-06 04:00:00;413,94638246915645;1;0;0
