;0
2023-01-01;0.0
2023-01-02;1.53
2023-01-03;-1.87
2023-01-04;-2.14
2023-01-05;-2.87
2023-01-06;0.75
2023-01-07;2.53
2023-01-08;-3.87
2023-01-09;-4.96
2023-01-10;-2.18
2023-01-11;-0.73
2023-01-12;1.31
2023-01-13;-0.41
2023-01-14;1.0
2023-01-15;-0.04
2023-01-16;-0.55
2023-01-17;1.5
2023-01-18;4.86
2023-01-19;-1.0
2023-01-20;-3.66
2023-01-21;2.32
2023-01-22;-0.84
2023-01-23;4.31
2023-01-24;1.55
2023-01-25;-0.37
2023-01-26;7.25
2023-01-27;-0.33
2023-01-28;3.92
2023-01-29;-1.99
2023-01-30;-0.1
2023-01-31;0.69
2023-02-01;0.78
2023-02-02;-1.73
2023-02-03;-4.29
2023-02-04;5.91
2023-02-05;1.11
2023-02-06;-0.58
2023-02-07;2.23
2023-02-08;2.88
2023-02-09;0.54
2023-02-10;-2.91
2023-02-11;-0.58
2023-02-12;0.79
2023-02-13;4.12
2023-02-14;-2.19
2023-02-15;-2.1
2023-02-16;1.03
2023-02-17;-1.76
2023-02-18;2.09
2023-02-19;-1.66
2023-02-20;1.0
2023-02-21;-2.55
2023-02-22;0.05
2023-02-23;0.93
2023-02-24;0.56
2023-02-25;1.27
2023-02-26;-1.9
2023-02-27;-2.35
2023-02-28;0.65
2023-03-01;2.73
2023-03-02;2.95
2023-03-03;-0.35
2023-03-04;-7.25
2023-03-05;-1.7
2023-03-06;4.47
2023-03-07;-9.11
2023-03-08;-3.21
2023-03-09;5.49
2023-03-10;1.51
2023-03-11;0.68
2023-03-12;-0.75
2023-03-13;1.39
2023-03-14;-1.01
2023-03-15;-0.51
2023-03-16;-0.87
2023-03-17;-7.2
2023-03-18;3.85
2023-03-19;0.61
2023-03-20;2.01
2023-03-21;4.15
2023-03-22;-0.33
2023-03-23;1.94
2023-03-24;-5.92
2023-03-25;4.91
2023-03-26;1.07
2023-03-27;3.68
2023-03-28;0.92
2023-03-29;1.97
2023-03-30;0.88
2023-03-31;-2.34
2023-04-01;-2.63
2023-04-02;-1.54
2023-04-03;0.09
2023-04-04;-0.2
2023-04-05;1.74
2023-04-06;3.24
2023-04-07;1.77
2023-04-08;5.12
2023-04-09;3.5
2023-04-10;-2.6
2023-04-11;-4.03
2023-04-12;-0.29
2023-04-13;-5.23
2023-04-14;-0.3
2023-04-15;-5.77
2023-04-16;-3.14
2023-04-17;2.07
2023-04-18;-3.29
2023-04-19;3.46
2023-04-20;4.36
2023-04-21;-1.34
2023-04-22;-5.24
2023-04-23;-2.34
2023-04-24;-6.68
2023-04-25;-1.9
2023-04-26;-0.88
2023-04-27;0.61
2023-04-28;0.51
2023-04-29;-4.25
2023-04-30;-0.84
2023-05-01;-4.95
2023-05-02;5.86
2023-05-03;-0.78
2023-05-04;2.51
2023-05-05;-2.0
2023-05-06;0.76
2023-05-07;-0.11
2023-05-08;-3.91
2023-05-09;1.16
2023-05-10;2.78
2023-05-11;2.13
2023-05-12;0.38
2023-05-13;-1.44
2023-05-14;3.4
2023-05-15;0.54
2023-05-16;0.61
2023-05-17;0.53
2023-05-18;1.33
2023-05-19;-0.92
2023-05-20;-2.54
2023-05-21;-5.86
2023-05-22;4.97
2023-05-23;1.36
2023-05-24;-7.06
2023-05-25;4.96
2023-05-26;4.16
2023-05-27;1.24
2023-05-28;-2.75
2023-05-29;9.17
2023-05-30;3.31
2023-05-31;2.85
2023-06-01;-0.78
2023-06-02;-2.5
2023-06-03;1.84
2023-06-04;0.3
2023-06-05;1.56
2023-06-06;2.0
2023-06-07;2.11
2023-06-08;-1.99
2023-06-09;0.57
2023-06-10;1.48
2023-06-11;1.22
2023-06-12;-2.82
2023-06-13;-6.53
2023-06-14;-0.44
2023-06-15;3.45
2023-06-16;1.78
2023-06-17;0.55
2023-06-18;4.01
2023-06-19;1.66
2023-06-20;-4.78
2023-06-21;-2.37
2023-06-22;2.06
2023-06-23;-0.18
2023-06-24;-2.86
2023-06-25;5.8
2023-06-26;-3.94
2023-06-27;-2.66
2023-06-28;-2.48
2023-06-29;-3.03
2023-06-30;-3.43
2023-07-01;4.97
2023-07-02;0.7
2023-07-03;-3.34
2023-07-04;1.95
2023-07-05;2.67
2023-07-06;1.9
2023-07-07;-1.9
2023-07-08;1.01
2023-07-09;-0.27
2023-07-10;3.91
2023-07-11;-0.22
2023-07-12;-3.16
2023-07-13;0.31
2023-07-14;2.23
2023-07-15;3.26
2023-07-16;2.01
2023-07-17;2.83
2023-07-18;5.55
2023-07-19;0.97
2023-07-20;0.19
2023-07-21;-0.46
2023-07-22;2.51
2023-07-23;-2.1
2023-07-24;2.21
2023-07-25;-8.03
2023-07-26;-2.32
2023-07-27;2.24
2023-07-28;-0.27
2023-07-29;3.88
2023-07-30;2.05
2023-07-31;-2.16
2023-08-01;0.74
2023-08-02;4.11
2023-08-03;-2.73
2023-08-04;-0.13
2023-08-05;-1.97
2023-08-06;-5.0
2023-08-07;0.52
2023-08-08;-1.46
2023-08-09;1.56
2023-08-10;-1.46
2023-08-11;0.07
2023-08-12;3.68
2023-08-13;4.61
2023-08-14;-2.81
2023-08-15;2.27
2023-08-16;5.61
2023-08-17;-1.47
2023-08-18;-0.52
2023-08-19;-0.99
2023-08-20;0.15
2023-08-21;0.66
2023-08-22;6.04
2023-08-23;-1.88
2023-08-24;-1.78
2023-08-25;2.39
2023-08-26;0.97
2023-08-27;-0.32
2023-08-28;5.26
2023-08-29;-2.53
2023-08-30;-0.66
2023-08-31;-0.65
2023-09-01;-0.33
2023-09-02;5.61
2023-09-03;-1.93
2023-09-04;-1.6
2023-09-05;1.4
2023-09-06;4.18
2023-09-07;-0.51
2023-09-08;4.46
2023-09-09;-7.65
2023-09-10;0.63
2023-09-11;0.67
2023-09-12;2.26
2023-09-13;-0.86
2023-09-14;-4.51
2023-09-15;0.21
2023-09-16;4.6
2023-09-17;-2.03
2023-09-18;2.46
2023-09-19;0.34
2023-09-20;-1.78
2023-09-21;4.84
2023-09-22;4.21
2023-09-23;-0.67
2023-09-24;1.14
2023-09-25;-0.26
2023-09-26;0.28
2023-09-27;2.31
2023-09-28;-4.5
2023-09-29;7.88
2023-09-30;-3.54
2023-10-01;0.37
2023-10-02;-0.55
2023-10-03;0.12
2023-10-04;-3.62
2023-10-05;3.24
2023-10-06;-1.8
2023-10-07;-0.15
2023-10-08;0.47
2023-10-09;-0.13
2023-10-10;3.39
2023-10-11;2.7
2023-10-12;-3.02
2023-10-13;2.36
2023-10-14;-1.45
2023-10-15;-1.82
2023-10-16;-2.58
2023-10-17;2.03
2023-10-18;0.04
2023-10-19;1.81
2023-10-20;0.42
2023-10-21;-0.36
2023-10-22;0.56
2023-10-23;3.33
2023-10-24;-4.73
2023-10-25;-1.58
2023-10-26;1.66
2023-10-27;-1.21
2023-10-28;0.48
2023-10-29;4.75
2023-10-30;1.05
2023-10-31;-3.66
